 iecx            qSy             qDy            
 1.00000000e-11  1.93712472e-06  8.39696823e-07 
 1.12201845e-11  2.06479349e-06  8.33374725e-07 
 1.25892541e-11  2.20911712e-06  8.27343661e-07 
 1.41253754e-11  2.37224100e-06  8.21750406e-07 
 1.58489319e-11  2.55657342e-06  8.16759802e-07 
 1.77827941e-11  2.76481079e-06  8.12555067e-07 
 1.99526231e-11  2.99998194e-06  8.09337803e-07 
 2.23872114e-11  3.26547113e-06  8.07328667e-07 
 2.51188643e-11  3.56507611e-06  8.06767789e-07 
 2.81838293e-11  3.90304360e-06  8.07915904e-07 
 3.16227766e-11  4.28413156e-06  8.11055764e-07 
 3.54813389e-11  4.71366674e-06  8.16494129e-07 
 3.98107171e-11  5.19761666e-06  8.24564364e-07 
 4.46683592e-11  5.74265996e-06  8.35629532e-07 
 5.01187234e-11  6.35628902e-06  8.50086553e-07 
 5.62341325e-11  7.04689346e-06  8.68370515e-07 
 6.30957344e-11  7.82387724e-06  8.90960086e-07 
 7.07945784e-11  8.69778625e-06  9.18383735e-07 
 7.94328235e-11  9.68044254e-06  9.51226470e-07 
 8.91250938e-11  1.07851090e-05  9.90137896e-07 
 1.00000000e-10  1.20266419e-05  1.03584011e-06 
 1.12201845e-10  1.34217313e-05  1.08913899e-06 
 1.25892541e-10  1.49890835e-05  1.15093374e-06 
 1.41253754e-10  1.67496877e-05  1.22222971e-06 
 1.58489319e-10  1.87270846e-05  1.30415163e-06 
 1.77827941e-10  2.09476944e-05  1.39795941e-06 
 1.99526231e-10  2.34411525e-05  1.50506451e-06 
 2.23872114e-10  2.62407098e-05  1.62704924e-06 
 2.51188643e-10  2.93837675e-05  1.76569213e-06 
 2.81838293e-10  3.29119008e-05  1.92297081e-06 
 3.16227766e-10  3.68723566e-05  2.10113043e-06 
 3.54813389e-10  4.13178351e-05  2.30267628e-06 
 3.98107171e-10  4.63072755e-05  2.53041067e-06 
 4.46683592e-10  5.19069585e-05  2.78748481e-06 
 5.01187234e-10  5.81915678e-05  3.07744947e-06 
 5.62341325e-10  6.52445362e-05  3.40427254e-06 
 6.30957344e-10  7.31594325e-05  3.77240467e-06 
 7.07945784e-10  8.20415156e-05  4.18685303e-06 
 7.94328235e-10  9.20086763e-05  4.65322680e-06 
 8.91250938e-10  1.03193271e-04  5.17782432e-06 
 1.00000000e-09  1.15744031e-04  5.76772408e-06 
 1.12201845e-09  1.29826789e-04  6.43082022e-06 
 1.25892541e-09  1.45629244e-04  7.17604815e-06 
 1.41253754e-09  1.63360697e-04  8.01337371e-06 
 1.58489319e-09  1.83259112e-04  8.95412783e-06 
 1.77827941e-09  2.05581173e-04  1.00105381e-05 
 1.99526231e-09  2.30629657e-04  1.11970243e-05 
 2.23872114e-09  2.58735129e-04  1.25293353e-05 
 2.51188643e-09  2.90270141e-04  1.40252219e-05 
 2.81838293e-09  3.25652860e-04  1.57046113e-05 
 3.16227766e-09  3.65352434e-04  1.75898637e-05 
 3.54813389e-09  4.09895184e-04  1.97060684e-05 
 3.98107171e-09  4.59871555e-04  2.20813763e-05 
 4.46683592e-09  5.15943907e-04  2.47473737e-05 
 5.01187234e-09  5.78855269e-04  2.77395009e-05 
 5.62341325e-09  6.49439129e-04  3.10975222e-05 
 6.30957344e-09  7.28630426e-04  3.48660538e-05 
 7.07945784e-09  8.17477872e-04  3.90951552e-05 
 7.94328235e-09  9.17157736e-04  4.38409926e-05 
 8.91250938e-09  1.02898932e-03  4.91665843e-05 
 1.00000000e-08  1.15445227e-03  5.51426355e-05 
 1.12201845e-08  1.29520600e-03  6.18484760e-05 
 1.25892541e-08  1.45311139e-03  6.93731114e-05 
 1.41253754e-08  1.63025514e-03  7.78164025e-05 
 1.58489319e-08  1.82897702e-03  8.72903882e-05 
 1.77827941e-08  2.05190026e-03  9.79207702e-05 
 1.99526231e-08  2.30196575e-03  1.09848577e-04 
 2.23872114e-08  2.58247005e-03  1.23232032e-04 
 2.51188643e-08  2.89710807e-03  1.38248647e-04 
 2.81838293e-08  3.25002060e-03  1.55097572e-04 
 3.16227766e-08  3.64584751e-03  1.74002229e-04 
 3.54813389e-08  4.08978702e-03  1.95213266e-04 
 3.98107171e-08  4.58766187e-03  2.19011872e-04 
 4.46683592e-08  5.14599301e-03  2.45713491e-04 
 5.01187234e-08  5.77208166e-03  2.75671985e-04 
 5.62341325e-08  6.47410066e-03  3.09284309e-04 
 6.30957344e-08  7.26119587e-03  3.46995741e-04 
 7.07945784e-08  8.14359882e-03  3.89305755e-04 
 7.94328235e-08  9.13275152e-03  4.36774596e-04 
 8.91250938e-08  1.02414446e-02  4.90030652e-04 
 1.00000000e-07  1.14839702e-02  5.49778714e-04 
 1.12201845e-07  1.28762899e-02  6.16809229e-04 
 1.25892541e-07  1.44362205e-02  6.92008668e-04 
 1.41253754e-07  1.61836373e-02  7.76371133e-04 
 1.58489319e-07  1.81406970e-02  8.71011361e-04 
 1.77827941e-07  2.03320808e-02  9.77179278e-04 
 1.99526231e-07  2.27852596e-02  1.09627629e-03 
 2.23872114e-07  2.55307805e-02  1.22987351e-03 
 2.51188643e-07  2.86025766e-02  1.37973215e-03 
 2.81838293e-07  3.20383001e-02  1.54782636e-03 
 3.16227766e-07  3.58796776e-02  1.73636868e-03 
 3.54813389e-07  4.01728876e-02  1.94783861e-03 
 3.98107171e-07  4.49689587e-02  2.18501441e-03 
 4.46683592e-07  5.03241860e-02  2.45100875e-03 
 5.01187234e-07  5.63005633e-02  2.74930837e-03 
 5.62341325e-07  6.29662264e-02  3.08381856e-03 
 6.30957344e-07  7.03959032e-02  3.45891258e-03 
 7.07945784e-07  7.86713642e-02  3.87948699e-03 
 7.94328235e-07  8.78818670e-02  4.35102326e-03 
 8.91250938e-07  9.81245872e-02  4.87965655e-03 
 1.00000000e-06  1.09505027e-01  5.47225235e-03 
 1.12201845e-06  1.22137393e-01  6.13649208e-03 
 1.25892541e-06  1.36144939e-01  6.88096836e-03 
 1.41253754e-06  1.51660261e-01  7.71529149e-03 
 1.58489319e-06  1.68825543e-01  8.65020807e-03 
 1.77827941e-06  1.87792753e-01  9.69773350e-03 
 1.99526231e-06  2.08723787e-01  1.08712999e-02 
 2.23872114e-06  2.31790568e-01  1.21859216e-02 
 2.51188643e-06  2.57175108e-01  1.36583794e-02 
 2.81838293e-06  2.85069555e-01  1.53074283e-02 
 3.16227766e-06  3.15676232e-01  1.71540286e-02 
 3.54813389e-06  3.49207714e-01  1.92216059e-02 
 3.98107171e-06  3.85886946e-01  2.15363428e-02 
 4.46683592e-06  4.25947457e-01  2.41275068e-02 
 5.01187234e-06  4.69633690e-01  2.70278189e-02 
 5.62341325e-06  5.17201481e-01  3.02738686e-02 
 6.30957344e-06  5.68918726e-01  3.39065815e-02 
 7.07945784e-06  6.25066244e-01  3.79717469e-02 
 7.94328235e-06  6.85938882e-01  4.25206126e-02 
 8.91250938e-06  7.51846854e-01  4.76105554e-02 
 1.00000000e-05  8.23117340e-01  5.33058392e-02 
